Item id,Price
1,Price4
2,Price1
3,Price2
4,Price2
5,Price3
6,Price2
7,Price4
8,Price2
9,Price2
10,Price2
11,Price4
12,Price1
13,Price2
14,Price3
15,Price2
16,Price3
17,Price2
18,Price1
19,Price2
20,Price1
21,Price4
22,Price2
23,Price3
24,Price2
25,Price2
26,Price3
27,Price1
28,Price1
29,Base_Price
30,Price2
31,Price2
32,Price3
33,Price2
34,Price3
35,Price1
36,Price2
37,Price3
38,Price3
39,Price1
40,Price1
41,Price1
42,Price3
43,Price1
44,Price2
45,Price3
46,Price3
47,Price1
48,Price1
49,Price2
50,Price1
51,Price1
52,Price3
53,Price1
54,Price3
55,Price2
56,Price3
57,Price2
58,Price1
59,Price3
60,Price2
61,Price3
62,Price2
63,Price3
64,Price2
65,Price2
66,Price1
67,Price4
68,Price1
69,Price2
70,Price3
71,Price2
72,Price1
73,Price4
74,Price2
75,Price2
76,Price3
77,Price2
78,Price2
79,Price3
80,Price4
81,Price2
82,Price3
83,Price2
84,Price1
85,Price1
86,Price4
87,Price1
88,Price1
89,Price2
90,Price3
91,Price3
92,Price2
93,Price3
94,Price3
95,Price1
96,Price2
97,Price2
98,Price1
99,Price2
100,Price2
101,Price2
102,Price3
103,Price1
104,Price3
105,Price2
106,Price3
107,Price1
108,Price3
109,Price2
110,Price2
111,Price3
112,Price4
113,Price1
114,Price3
115,Price4
116,Price2
117,Price2
118,Price2
119,Price4
120,Price4
121,Price1
122,Price2
123,Price1
124,Price1
125,Price1
126,Price1
127,Price2
128,Price2
129,Price1
130,Price1
131,Price2
132,Price1
133,Price1
134,Price2
135,Price3
136,Price3
137,Price2
138,Price2
139,Price2
140,Price2
141,Price2
142,Price3
143,Price3
144,Price1
145,Price2
146,Price3
147,Price2
148,Price1
149,Price2
150,Price1
151,Price2
152,Price2
153,Price2
154,Price2
155,Price2
156,Price1
157,Price2
158,Price1
159,Price1
160,Price2
161,Price2
162,Price2
163,Price2
164,Price1
165,Price3
166,Price1
167,Price3
168,Price1
169,Price2
170,Price2
171,Price3
172,Price2
173,Price1
174,Price2
175,Price1
176,Price2
177,Price1
178,Price2
179,Price2
180,Price2
181,Price1
182,Price3
183,Price2
184,Price1
185,Price1
186,Price4
187,Price1
188,Price2
189,Price2
190,Price1
191,Price2
192,Price2
193,Price1
194,Price2
195,Price1
196,Price1
197,Price2
198,Price3
199,Price3
200,Price2
201,Price2
202,Price1
203,Price1
204,Price2
205,Price3
206,Price1
207,Price2
208,Price1
209,Price1
210,Price3
211,Price2
212,Price2
213,Price1
214,Price3
215,Price1
216,Price2
217,Price2
218,Price2
219,Price2
220,Price1
221,Price1
222,Price2
223,Price2
224,Price1
225,Price2
226,Price2
227,Price2
228,Price2
229,Price3
230,Price1
231,Price4
232,Price1
233,Price1
234,Price2
235,Price3
236,Price2
237,Price1
238,Price3
239,Price2
240,Price3
241,Price2
242,Price3
243,Price2
244,Price3
245,Price2
246,Price3
247,Price2
248,Price2
249,Price1
250,Price2
251,Price3
252,Price1
253,Price2
254,Price3
255,Price3
256,Price3
257,Price2
258,Price2
259,Price3
260,Price2
261,Price2
262,Price3
263,Price1
264,Price4
265,Price3
266,Price3
267,Price2
268,Price1
269,Price3
270,Price1
271,Price2
272,Price2
273,Price1
274,Price1
275,Price2
276,Price1
277,Price3
278,Price2
279,Price2
280,Price2
281,Price2
282,Price2
283,Price1
284,Price3
285,Price2
286,Price3
287,Price2
288,Price2
289,Price2
290,Price1
291,Price2
292,Price2
293,Price3
294,Price3
295,Price3
296,Price2
297,Price2
298,Price1
299,Price3
300,Price2
